Date of Interview,Client name,Industry,Location,Position to be closed,Nature of Skillset,Interview Type,Name(Cand ID),Gender,Candidate Current Location,Candidate Job Location,Interview Venue,Candidate Native location,Have you obtained the necessary permission to start at the required time,Hope there will be no unscheduled meetings,Can I Call you three hours before the interview and follow up on your attendance for the interview,Can I have an alternative number/ desk number. I assure you that I will not trouble you too much,Have you taken a printout of your updated resume. Have you read the JD and understood the same,Are you clear with the venue details and the landmark.,Has the call letter been shared,Expected Attendance,Observed Attendance,Marital Status
25.5.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 105,Male,Chennai,Chennai,Chennai,Chennai,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Single
25.5.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 106,Male,Chennai,Chennai,Chennai,Chennai,,Yes,Yes,,Yes,Yes,Yes,Yes,yes,Single
25.5.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 107,Male,Chennai,Chennai,Chennai,Hyderabad,,Yes,Yes,,Yes,Yes,Yes,Yes,yes ,Married
25-5-2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 108,Male,Chennai,Chennai,Chennai,Hyderabad,,Yes,Yes,,Yes,Yes,Yes,Yes,yes,Married
25-5-2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 109,Male,Chennai,Chennai,Chennai,Chennai,,Yes,Yes,,Yes,Yes,Yes,Yes,No,Single
25-5-2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 110,Male,Chennai,Chennai,Chennai,Chennai,,Yes,Yes,,Yes,Yes,Yes,Yes,No,Single
25-5-2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 111,Female,Chennai,Chennai,Chennai,Hyderabad,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Single
25-5-2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 112,Female,Chennai,Chennai,Chennai,Cochin,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Single
25.5.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 117,Male,Chennai,Chennai,Chennai,Hyderabad,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Single
25.5.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 118,Male,Chennai,Chennai,Chennai,Hyderabad,,Yes,Yes,,Yes,Yes,Yes,Yes,No,Single
25.5.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 119,Male,Chennai,Chennai,Chennai,Trivandrum,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Single
25.5.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 120,Female,Chennai,Chennai,Chennai,Trivandrum,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Married
25-05-2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 121,Male,Chennai,Chennai,Chennai,Chennai,,No,No,,No,Yes,Yes,No,No,Single
25.05.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 122,Male,Chennai,Chennai,Chennai,Chennai,,Yes,Yes,,Yes,Yes,Yes,Yes,No,Single
25.05.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 123,Female,Chennai,Chennai,Chennai,Chennai,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Single
25.05.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 124,Female,Chennai,Chennai,Chennai,Chennai,,Yes,No,,NA,NA,Yet to Check,Uncertain,Yes,Single
25.05.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 125,Male,Chennai,Chennai,Chennai,Chennai,,Yes,Yes,,No,No,Not Sure,No,No,Single
25.5.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 126,Male,Chennai,Chennai,Chennai,Chennai,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Single
25.5.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 127,Female,Chennai,Chennai,Chennai,Chennai,,Yes,Yes,,No,No,Not Sure,No,No,Single
25.5.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 128,Male,Chennai,Chennai,Chennai,Chennai,,Yes,Yes,,Yes,Yes,Yes,Yes,No,Single
25.5.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 129,Female,Chennai,Chennai,Chennai,Chennai,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Single
25-5-2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 130,Male,Chennai,Chennai,Chennai,Chennai,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Single
25-5-2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 131,Male,Chennai,Chennai,Chennai,Chennai,,Yes,Yes,,Yes,Yes,Yes,Yes,No,Single
25-5-2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 132,Female,Chennai,Chennai,Chennai,Chennai,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Married
25-5-2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 133,Female,Chennai,Chennai,Chennai,Chennai,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Married
25-5-2016,ANZ,BFSI,Bangalore,Niche,Banking Operations,Scheduled Walkin,Candidate 134,Male,Bangalore,Bangalore,Bangalore,Bangalore,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Single
25.5.2016,ANZ,BFSI,Bangalore,Niche,Banking Operations,Scheduled ,Candidate 139,Male,Bangalore,Bangalore,Bangalore,Bangalore,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Single
25.5.2016,ANZ,BFSI,Bangalore,Niche,Banking Operations,Scheduled ,Candidate 140,Male,Bangalore,Bangalore,Bangalore,Bangalore,,Yes,Yes,,Yes,Yes,Yes,Yes,No ,Single
25.5.2016,ANZ,BFSI,Bangalore,Niche,Banking Operations,Scheduled ,Candidate 141,Female,Bangalore,Bangalore,Bangalore,Chennai,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Married
25.5.2016,ANZ,BFSI,Bangalore,Niche,Banking Operations,Scheduled ,Candidate 142,Male,Bangalore,Bangalore,Bangalore,Pune,,Yes,Yes,,Yes,Yes,Yes,Yes,No,Single
25-05-2016,ANZ,BFSI,Bangalore,Niche,Banking Operations,Scheduled ,Candidate 143,Female,Bangalore,Bangalore,Bangalore,Hyderabad,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Married
25.05.2016,ANZ,BFSI,Bangalore,Niche,Banking Operations,Scheduled ,Candidate 144,Male,Bangalore,Bangalore,Bangalore,Kolkata,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Single
25.05.2016,ANZ,BFSI,Bangalore,Niche,Banking Operations,Scheduled ,Candidate 145,Male,Bangalore,Bangalore,Bangalore,Bangalore,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Single
25.05.2016,ANZ,BFSI,Bangalore,Niche,Banking Operations,Scheduled ,Candidate 146,Male,Bangalore,Bangalore,Bangalore,Chennai,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Single
25.05.2016,ANZ,BFSI,Bangalore,Niche,Banking Operations,Scheduled ,Candidate 147,Male,Bangalore,Bangalore,Bangalore,Chennai,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Single
25.5.2016,ANZ,BFSI,Bangalore,Niche,Banking Operations,Scheduled ,Candidate 148,Male,Bangalore,Bangalore,Bangalore,Bangalore,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Single
25.5.2016,ANZ,BFSI,Bangalore,Niche,Banking Operations,Scheduled ,Candidate 149,Male,Bangalore,Bangalore,Bangalore,Bangalore,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Single
25.5.2016,ANZ,BFSI,Bangalore,Niche,Banking Operations,Scheduled ,Candidate 150,Male,Bangalore,Bangalore,Bangalore,Bangalore,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Single
25.5.2016,ANZ,BFSI,Bangalore,Niche,Banking Operations,Scheduled ,Candidate 151,Male,Bangalore,Bangalore,Bangalore,Bangalore,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Single
25-5-2016,ANZ,BFSI,Bangalore,Niche,Banking Operations,Scheduled ,Candidate 152,Male,Bangalore,Bangalore,Bangalore,Trivandrum,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
25-5-2016,ANZ,BFSI,Bangalore,Niche,Banking Operations,Scheduled ,Candidate 153,Male,Bangalore,Bangalore,Bangalore,Bangalore,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
25-5-2016,ANZ,BFSI,Bangalore,Niche,Banking Operations,Scheduled ,Candidate 154,Male,Bangalore,Bangalore,Bangalore,Bangalore,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
25-5-2016,ANZ,BFSI,Bangalore,Niche,Banking Operations,Scheduled ,Candidate 155,Male,Bangalore,Bangalore,Bangalore,Bangalore,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 242,Male,Bangalore,Bangalore,Bangalore,Bangalore,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 243,Male,Bangalore,Bangalore,Bangalore,Chennai,NA,NA,NA,NA,NA,NA,NA,Uncertain,Yes,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 244,Female,Bangalore,Bangalore,Bangalore,Bangalore,No,NA,NA,NA,NA,NA,NA,Uncertain,No,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 245,Male,Bangalore,Bangalore,Bangalore,Chennai,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 246,Male,Bangalore,Bangalore,Bangalore,Chennai,NA,NA,NA,NA,NA,NA,NA,Uncertain,Yes,Married
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 247,Male,Bangalore,Bangalore,Bangalore,Kolkata,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Married
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 248,Female,Bangalore,Bangalore,Bangalore,Allahabad,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 249,Female,Bangalore,Bangalore,Bangalore,Chennai,NA,NA,NA,NA,NA,NA,NA,Uncertain,Yes,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 250,Female,Bangalore,Bangalore,Bangalore,Panjim,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 251,Male,Bangalore,Bangalore,Bangalore,Mumbai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Married
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 252,Male,Bangalore,Bangalore,Bangalore,Hyderabad,NA,NA,NA,NA,NA,NA,NA,Uncertain,Yes,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 253,Male,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 254,Female,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Married
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 255,Male,Bangalore,Bangalore,Bangalore,Bangalore,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 256,Male,Bangalore,Bangalore,Bangalore,Allahabad,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 257,Male,Bangalore,Bangalore,Bangalore,Allahabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 258,Male,Bangalore,Bangalore,Bangalore,Hyderabad,Not yet,yes,Yes,Yes,Yes,Yes,Yes,Uncertain,yes,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 259,Female,Bangalore,Bangalore,Bangalore,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 260,Female,Bangalore,Bangalore,Bangalore,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 261,Male,Bangalore,Bangalore,Bangalore,Kolkata,NA,NA,NA,NA,NA,NA,NA,Uncertain,Yes,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 262,Male,Bangalore,Bangalore,Bangalore,Hyderabad,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 263,Male,Bangalore,Bangalore,Bangalore,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 264,Male,Bangalore,Bangalore,Bangalore,Kolkata,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Married
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 265,Male,Bangalore,Bangalore,Bangalore,Chennai,NA,NA,NA,NA,NA,NA,NA,Uncertain,Yes,Married
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 266,Female,Bangalore,Bangalore,Bangalore,Chennai,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 267,Male,Bangalore,Bangalore,Bangalore,Chennai,Not yet,Yes,Yes,Yes,Yes,Yes,Yes,Uncertain,No,Married
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 268,Male,Bangalore,Bangalore,Bangalore,Kolkata,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 269,Male,Bangalore,Bangalore,Bangalore,Bangalore,NA,NA,NA,NA,NA,NA,NA,Uncertain,Yes,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 270,Male,Bangalore,Bangalore,Bangalore,Kolkata,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Married
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 271,Male,Bangalore,Bangalore,Bangalore,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 272,Male,Bangalore,Bangalore,Bangalore,Hyderabad,Yes,Yes,No,Yes,Not yet,Yes,Yes,Uncertain,No,Married
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 273,Male,Bangalore,Bangalore,Bangalore,Chennai,NA,NA,NA,NA,NA,NA,NA,Uncertain,Yes,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 274,Male,Bangalore,Bangalore,Bangalore,Hyderabad,NA,NA,NA,NA,NA,NA,NA,Uncertain,Yes,Married
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 275,Male,Bangalore,Bangalore,Bangalore,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 276,Female,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 277,Female,Bangalore,Bangalore,Bangalore,Cochin,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 278,Male,Bangalore,Bangalore,Bangalore,Pune,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 279,Female,Bangalore,Bangalore,Bangalore,Cuttack,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 280,Male,Bangalore,Bangalore,Bangalore,Hyderabad,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Married
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 281,Female,Bangalore,Bangalore,Bangalore,Allahabad,NA,NA,NA,NA,NA,NA,NA,Uncertain,Yes,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 282,Male,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 283,Male,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 284,Male,Bangalore,Bangalore,Bangalore,Bangalore,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 285,Male,Bangalore,Bangalore,Bangalore,Hyderabad,NA,NA,NA,NA,NA,NA,NA,Uncertain,Yes,Married
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 286,Male,Bangalore,Bangalore,Bangalore,Gurgaon,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 287,Male,Bangalore,Bangalore,Bangalore,Pune,NA,NA,NA,NA,NA,NA,NA,Uncertain,Yes,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 288,Male,Bangalore,Bangalore,Bangalore,Visakapatinam,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Married
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 289,Male,Bangalore,Bangalore,Bangalore,Mumbai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 290,Female,Bangalore,Bangalore,Bangalore,Belgaum,No,NA,NA,NA,NA,NA,NA,NO,NO,Married
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 291,Female,Bangalore,Bangalore,Bangalore,Bangalore,NA,NA,NA,NA,NA,NA,NA,Uncertain,Yes,Married
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 292,Female,Bangalore,Bangalore,Bangalore,Cuttack,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 293,Male,Bangalore,Bangalore,Bangalore,Cochin,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Married
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 294,Male,Bangalore,Bangalore,Bangalore,Noida,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 295,Male,Bangalore,Bangalore,Bangalore,Pune,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 296,Male,Bangalore,Bangalore,Bangalore,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 297,Male,Bangalore,Bangalore,Bangalore,Chennai,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 298,Male,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 299,Female,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Married
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 300,Male,Bangalore,Bangalore,Bangalore,Bangalore,NA,NA,NA,NA,NA,NA,NA,Uncertain,Yes,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 301,Male,Bangalore,Bangalore,Bangalore,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 302,Male,Bangalore,Bangalore,Bangalore,Pune,Yes,Yes,Yes,No,Yes,Yes,Yes,Uncertain,Yes,Married
